rank_within_side,pair,side,source,root_nodes,root_node_digits,source_claims,term_lets,matched
1,pair_2347fae1,h,olympiads,14985364382,11,5,12,5
2,pair_c3a8e335,h,olympiads,8729996998,10,0,13851,0
3,pair_38784c8a,h,math_test,3635982591,10,0,0,0
4,pair_f139ea4b,h,olympiads,2510462866,10,0,40089,0
5,pair_11e0a70c,h,olympiads,2244927919,10,25,25,25
6,pair_11ff4653,h,cn_k12,1971912812,10,50,79,50
7,pair_8789b304,h,olympiads_ref,1472631466,10,3,4,3
8,pair_14bd707b,h,amc_aime,1217726809,10,5,5,5
9,pair_98b1023d,h,math_train,1005377615,10,0,0,0
10,pair_221506da,h,amc_aime,906368324,9,4,4,4
11,pair_debcd118,h,math_test,683305112,9,0,15,0
12,pair_bcf406a7,h,olympiads_ref,616574566,9,6,17,6
13,pair_2048479d,h,olympiads_ref,606303227,9,13,22,13
14,pair_17ae3e10,h,math_train,446008072,9,6,22,6
15,pair_4a5c28e9,h,olympiads,442608962,9,4,14,4
16,pair_aeeb5cb4,h,olympiads,394634905,9,42,42,42
17,pair_68ecc999,h,olympiads_ref,331191393,9,7,12,7
18,pair_ba63ea57,h,olympiads_ref,264697234,9,4,4,4
19,pair_faeeadb5,h,inequalities,205499028,9,8,8,8
20,pair_838494bd,h,olympiads_ref,174316786,9,5,22,5
1,pair_eadcfa44,a,amc_aime,5676003555089905556280555734000052756441775310261145379777099103225281373710551758675210963851830654142792623514928914797394460386923642110801983108106160975771256396841078154357493436136418587430812737385861372324322030512205125029484028729254993594729847281387930485679009539026935314284352341446050435844743771060303867310591113724689708714803383487985872206319232013713909206765790926099719508287920528894460437815198607774207972127278321384143035971447591543419496467295039762287299682582527982860957091205056894497841377812904091,535,0,0,0
2,pair_b6e03c27,a,olympiads,4633813523807283458748399706213007574246808249580174304987091162509423825727905070099823342198475750646247842083435833960758754491652908130186700744894271919817384520238115071486579492045928828698849309309229235805182661818640721650621792240942786312711510823855096453221146588498186315555018133740810606016030579685862816348552041509494705090034989156346762832136988627811945426962686891105974924597799905593219229470905353643,427,0,0,0
3,pair_44549fdb,a,amc_aime,13287948660565582083981673124944504000697191609967537732235414059855912968893628100116977054078941850349900313321203422705087662086138338675499717382995707690142746171578065517599212079229198900329717971196658372684622776723278909443543108808085662975638552378732713238388231420405,281,0,0,0
4,pair_6a622317,a,math_train,198184046436354204661116173767,30,0,0,0
5,pair_cc358b90,a,math_test,3578823963734073,16,0,0,0
6,pair_234131ae,a,math_train,53086904199,11,12,12,12
7,pair_dc4ec2f7,a,olympiads,29118609114,11,7,8,7
8,pair_a2697392,a,math_test,9104998463,10,0,0,0
9,pair_c75b3426,a,olympiads,6060524208,10,0,5,0
10,pair_36ca2008,a,olympiads_ref,4901101427,10,19,26,19
11,pair_ee015435,a,olympiads,3081125197,10,4,4,4
12,pair_3eaf1908,a,math_train,2394471303,10,11,17,11
13,pair_22790e68,a,amc_aime,1900381755,10,11,13,11
14,pair_98b1023d,a,math_train,1005377615,10,0,0,0
15,pair_51aae4ed,a,aops_forum,914758779,9,17,18,17
16,pair_35f4411e,a,aops_forum,736638183,9,0,0,0
17,pair_2347fae1,a,olympiads,683175096,9,10,10,10
18,pair_9c18f8d3,a,aops_forum,674714109,9,7,7,7
19,pair_9cb87168,a,olympiads,641194882,9,6,6,6
20,pair_11e0a70c,a,olympiads,552535514,9,1,1,1
