problem,model,model_slug,record,n_lines,n_tactics,n_have,n_premise_refs,n_distinct_premises,vocab_ratio,n_files
H1_not_closedComplemented,GPT-5.6,GPT-5.6,548,1073,425,146,945,162,0.17142857142857143,1
H1_not_closedComplemented,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,904,680,215,48,640,148,0.23125,2
abel_ruffini,GPT-5.6,GPT-5.6,549,776,367,195,501,113,0.22554890219560877,1
abel_ruffini,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,905,537,256,98,267,118,0.4419475655430712,4
anosov_bowen_shadowing,GPT-5.6,GPT-5.6,550,3424,1126,804,4105,281,0.0684531059683313,1
anosov_bowen_shadowing,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,906,7115,1555,904,9869,402,0.0407336102948627,5
baer_suzuki,Claude-Opus-4.7-+-GPT-5.5-human-in-the-loop,Claude-Opus-4.7-+-GPT-5.5-human-in-the-loop,902,1118,515,264,2101,304,0.14469300333174678,2
baer_suzuki,GPT-5.6,GPT-5.6,551,2335,914,455,5871,281,0.04786237438255834,1
baer_suzuki,GPT-5.6,GPT-5.6,72,954,281,96,1823,289,0.15852989577619309,29
baer_suzuki,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,907,2339,774,232,4405,327,0.07423382519863791,13
balanceable_bounded_partitions,GPT-5.6,GPT-5.6,552,807,385,178,632,139,0.2199367088607595,1
balanceable_bounded_partitions,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,908,666,296,141,594,183,0.30808080808080807,3
banach_alaoglu_bourbaki,GPT-5.6,GPT-5.6,553,129,61,23,151,39,0.2582781456953642,1
banach_alaoglu_bourbaki,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,909,61,29,5,84,40,0.47619047619047616,2
bauer_extreme_point_uniqueness,GPT-5.6,GPT-5.6,554,71,25,18,85,42,0.49411764705882355,1
bauer_extreme_point_uniqueness,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,910,32,7,8,59,34,0.576271186440678,1
bezout_projective_multiplicity,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,911,3828,955,273,5621,611,0.10869951965842377,18
boone_higman_embedding,GPT-5.6,GPT-5.6,555,804,345,99,1248,211,0.16907051282051283,1
boone_higman_embedding,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,912,483,172,58,690,184,0.26666666666666666,2
boone_higman_simple,GPT-5.6,GPT-5.6,556,498,244,69,743,175,0.23553162853297444,1
boone_higman_simple,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,913,462,178,47,598,147,0.24581939799331104,2
brauer_character_in_cyclotomic,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,16,39,15,5,94,40,0.425531914893617,2
brauer_character_in_cyclotomic,Aristotle (Harmonic),Aristotle-Harmonic,264,80,37,14,122,71,0.5819672131147541,2
brauer_character_in_cyclotomic,Aristotle (Harmonic),Aristotle-Harmonic,838,75,46,14,138,68,0.4927536231884058,1
brauer_character_in_cyclotomic,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,796,70,36,20,149,61,0.40939597315436244,2
brauer_character_in_cyclotomic,GPT-5.5,GPT-5.5,538,70,22,8,135,48,0.35555555555555557,1
brauer_character_in_cyclotomic,GPT-5.5,GPT-5.5,857,72,25,13,93,53,0.5698924731182796,1
brauer_character_in_cyclotomic,GPT-5.6,GPT-5.6,557,94,41,17,144,57,0.3958333333333333,1
brauer_character_in_cyclotomic,GPT-5.6,GPT-5.6,73,1044,270,46,1287,264,0.20512820512820512,12
brauer_character_in_cyclotomic,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,914,42,18,4,62,42,0.6774193548387096,2
brauer_fowler,GPT-5.6,GPT-5.6,558,323,159,100,653,123,0.1883614088820827,1
brauer_fowler,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,915,215,75,46,436,112,0.25688073394495414,2
brauer_suzuki,deepseek-v4-and-gpt-5.x,deepseek-v4-and-gpt-5.x,223,659683,186587,92690,1362725,20271,0.01487534168669394,583
brouwer_fixed_point,GPT-5.6,GPT-5.6,559,1511,563,257,2040,188,0.09215686274509804,1
brouwer_fixed_point,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,916,1279,402,128,1557,227,0.1457931920359666,8
brun_constant_converges,GPT-5.6,GPT-5.6,560,2161,916,397,1955,411,0.21023017902813299,1
brun_constant_converges,Humanifa + GPT 5.6 sol,Humanifa-+-GPT-5.6-sol,917,1696,623,139,1315,374,0.2844106463878327,7
bvp_comparison,"Antigravity (Multi-Model Ensemble: Gemini 3.1 Pro, Gemini 3 Flash, Claude 4.6 Sonnet/Opus)",Antigravity-Multi-Model-Ensemble-Gemini-3.1-Pro-Gemini-3-Flash-Claude-4.6-Sonnet,17,47,18,11,47,25,0.5319148936170213,2
bvp_comparison,Aristotle (Harmonic),Aristotle-Harmonic,236,27,20,3,44,22,0.5,2
bvp_comparison,Aristotle (Harmonic),Aristotle-Harmonic,839,22,20,3,46,23,0.5,1
bvp_comparison,Claude-Opus-4.7-1M-context,Claude-Opus-4.7-1M-context,797,49,28,15,44,22,0.5,2
bvp_comparison,EVO-deepthought.com.au,EVO-deepthought.com.au,884,242,161,122,160,62,0.3875,2
